id,income,goal_type,goal_amount,duration_months,recommended_monthly_saving
57,43907,housing,134123,25,5901.41
58,47190,family_support,69530,28,2731.54
59,17709,health,66255,8,8281.88
60,48935,housing,115630,33,3854.33
61,46380,family_support,94045,29,3567.22
62,21068,education,112328,17,6607.53
63,6390,housing,149108,32,4193.66
64,43724,housing,131030,33,4367.67
65,42910,housing,157137,11,15713.7
66,32945,education,29111,35,914.92
67,48125,family_support,127711,23,6107.92
68,6572,housing,115680,13,8008.62
69,6966,family_support,79404,23,3107.11
70,37036,housing,102263,14,8034.95
71,35067,family_support,35708,11,3570.8
72,6748,education,144301,18,7215.05
73,29610,start_business,48678,22,2212.64
74,29735,education,26084,19,1372.84
75,34771,family_support,162502,31,5766.2
76,16603,start_business,148582,15,9905.47
77,13020,housing,159100,33,4821.21
78,40416,family_support,101573,11,10157.3
79,37940,housing,164141,7,25793.59
80,18735,family_support,17541,16,1096.31
81,10603,education,174406,13,13415.85
82,46241,start_business,50499,22,2524.95
83,32994,education,165794,28,6513.34
84,31580,family_support,68345,8,9397.44
85,42066,start_business,131220,29,4977.31
86,48122,health,99876,10,10986.36
87,38949,family_support,117819,32,4050.03
88,40609,education,36594,24,1677.23
89,13440,health,76690,28,2738.93
90,31292,housing,28047,11,2804.7
91,24825,start_business,184756,28,6598.43
92,20124,housing,153386,6,25564.33
93,11238,health,153674,20,7683.7
94,40419,housing,114771,7,18035.44
95,47686,housing,81983,20,4509.06
96,49395,housing,101162,6,18546.37
97,6854,start_business,81968,24,3073.8
98,47196,family_support,124749,13,10555.68
99,36787,family_support,162894,18,9954.63
100,12438,health,165402,19,8705.37
101,37494,health,123843,15,9081.82
102,41971,education,33500,23,1602.17
103,9632,start_business,137384,16,7727.85
104,48362,start_business,170789,21,8946.09
105,41649,start_business,159330,8,21907.88
106,20308,family_support,183488,20,9174.4
107,42398,family_support,128339,25,5646.92
108,29024,health,107547,17,6326.29
109,21191,family_support,61711,28,2203.96
110,25775,health,103080,17,6063.53
111,41549,housing,109612,26,4637.43
112,32515,family_support,165131,33,5504.37
113,46762,housing,190597,28,7487.74
114,7693,education,55285,34,1463.43
115,31070,health,73054,11,7305.4
116,26264,health,24314,32,759.81
117,8441,start_business,126098,16,7093.01
118,46740,health,142407,21,7459.41
119,28152,health,115179,35,3290.83
120,25275,start_business,104402,12,8700.17
121,38441,housing,118684,27,4835.27
122,45530,start_business,140242,23,6707.23
123,27554,health,102692,17,6040.71
124,13267,family_support,25551,23,1110.91
125,27411,education,95318,34,2803.47
126,22881,housing,166375,10,16637.5
127,26483,education,160941,29,5549.69
128,9596,education,47314,24,1774.28
129,27818,start_business,19946,19,1049.79
130,8776,housing,78083,8,8784.34
131,42454,education,77573,12,7110.86
132,23074,family_support,116694,14,8335.29
133,9952,family_support,12083,12,906.23
134,41859,housing,22958,17,1485.52
135,14553,education,155656,11,14150.55
136,48192,start_business,98731,9,12067.12
137,29671,education,132374,33,4011.33
138,44246,education,118079,35,3711.05
139,44409,housing,69915,34,2261.96
140,31263,family_support,102321,31,3630.75
141,13337,start_business,197305,25,7892.2
142,5100,family_support,169935,30,5098.05
143,33590,education,149943,16,10308.58
144,10357,family_support,11907,22,541.23
145,17793,education,10026,13,771.23
146,17336,housing,179614,31,5794
147,40942,family_support,88237,26,3733.1
148,48310,health,83755,36,2559.18
149,29342,education,128594,14,9185.29
150,15423,start_business,198096,21,9433.14
151,19345,start_business,179315,11,16301.36
152,45328,health,132858,7,20877.69
153,18864,housing,31656,10,3165.6
154,20565,education,73251,17,4308.88
155,40273,education,74894,29,2840.81
156,31985,start_business,108956,18,6658.42
157,43148,health,126428,9,15452.31
158,11992,start_business,38418,11,3492.55
159,10727,family_support,58918,10,5891.8
160,28286,start_business,119693,24,4987.21
161,44412,health,24014,19,1390.28
162,32476,health,33611,12,3081.01
163,16845,housing,179100,35,5117.14
164,47237,housing,19638,14,1542.99
165,33002,start_business,159926,33,5330.87
166,49646,start_business,32761,9,4004.12
167,24583,family_support,66405,9,7378.33
168,39951,start_business,111781,23,5346.05
169,32767,family_support,61724,8,8487.05
170,6028,education,47855,22,1957.7
171,30952,housing,16334,28,641.69
172,22876,education,76603,23,3330.57
173,35204,housing,33123,20,1821.77
174,19038,family_support,50627,32,1582.09
175,17694,health,70602,25,2824.08
176,12162,start_business,65346,11,5940.55
177,5016,housing,104550,20,4704.75
178,41265,health,194732,12,17850.43
179,44161,start_business,159011,19,9205.9
180,10111,housing,192905,24,8037.71
181,36790,education,33998,6,6232.97
182,46187,housing,28397,23,1358.12
183,40850,housing,171246,36,5232.52
184,13093,education,83083,14,5934.5
185,20281,start_business,123823,22,5628.32
186,10159,start_business,111834,6,18639
187,11658,housing,47784,13,3675.69
188,48650,start_business,27158,33,905.27
189,45730,start_business,132739,30,4867.1
190,5172,housing,195370,14,12559.5
191,18915,health,153787,30,5126.23
192,40230,health,199326,36,6090.52
193,44228,start_business,127682,12,11704.18
194,27109,education,190940,7,27277.14
195,18020,start_business,63495,10,6349.5
196,12830,health,194021,17,11413
197,36642,family_support,150511,34,4869.47
198,31957,start_business,92284,11,9228.4
199,32647,health,161471,35,5074.8
200,42133,family_support,120390,19,6969.95
201,17899,education,178705,22,8122.95
202,27824,education,106805,34,3141.32
203,16800,start_business,130429,6,21738.17
204,7263,education,84471,24,3167.66
205,5698,family_support,101568,8,11426.4
206,41122,education,198651,13,16808.93
207,12956,health,27734,10,2773.4
208,13648,start_business,187536,15,12502.4
209,45847,family_support,45285,27,1844.94
210,12706,education,137305,22,6241.14
211,36899,family_support,149586,14,11753.19
212,20349,education,82280,10,8228
213,12243,housing,12288,12,1024
214,31749,housing,191866,32,6595.39
215,38276,health,157318,10,17304.98
216,32661,education,51578,33,1719.27
217,49414,family_support,140251,34,4537.53
218,7339,education,157351,14,10115.42
219,29735,start_business,48798,12,4066.5
220,13465,housing,33192,15,2212.8
221,23467,education,178558,16,11159.88
222,24198,family_support,194645,23,8462.83
223,36102,housing,96233,23,4602.45
224,14102,start_business,116185,7,16597.86
225,25307,housing,141271,32,4414.72
226,24528,health,184826,15,12321.73
227,7986,housing,169185,31,4911.82
228,36358,education,146842,34,4750.77
229,27770,education,92298,28,3296.36
230,32095,start_business,113058,23,5407.12
231,44331,health,18390,8,2528.62
232,26987,education,28364,14,2026
233,31525,education,79004,17,5112.02
234,46404,education,77504,35,2435.84
235,8698,start_business,190088,21,8146.63
236,8122,education,172568,8,19413.9
237,48821,housing,139188,35,4374.48
238,31715,health,129146,21,6764.79
239,7309,start_business,69361,31,2013.71
240,45710,housing,134191,20,7380.51
241,25301,start_business,101615,9,11290.56
242,19128,education,168278,6,28046.33
243,31782,health,116177,22,5808.85
244,47026,education,17737,24,812.95
245,31389,start_business,106389,6,19504.65
246,38155,family_support,137710,36,4207.81
247,44080,education,23402,21,1225.82
248,45759,health,190102,12,17426.02
249,32709,housing,187233,8,25744.54
250,40964,education,67905,24,3112.31
251,9320,start_business,91828,12,6887.1
252,40337,start_business,75489,14,5931.28
253,31295,start_business,19278,20,1060.29
254,6940,start_business,21080,25,758.88
255,42390,health,175070,13,14813.62
256,49998,education,69488,8,9554.6
257,7908,health,185858,34,4919.77
258,32756,family_support,161690,35,5081.69
259,10975,education,185898,31,5996.71
260,18209,housing,184434,30,6147.8
261,5963,health,129113,24,4841.74
262,38702,health,167847,28,6593.99
263,14279,housing,15345,35,438.43
264,29399,family_support,166595,10,16659.5
265,15270,family_support,77304,12,6442
266,48468,health,176518,7,27738.54
267,36572,health,89015,30,3263.88
268,33984,start_business,22364,11,2236.4
269,47610,start_business,156551,32,5381.44
270,24789,start_business,88804,16,5550.25
271,19575,start_business,110103,13,8469.46
272,44760,education,171792,10,18897.12
273,24617,start_business,71321,31,2300.68
274,31522,health,59158,34,1913.94
275,11499,health,10986,34,323.12
276,47344,start_business,137814,18,8421.97
277,30474,health,178711,16,12286.38
278,18273,family_support,127248,10,12724.8
279,10515,housing,154809,33,4691.18
280,24551,housing,61366,36,1704.61
281,38565,housing,29315,8,4030.81
282,48177,housing,17786,22,889.3
283,16010,start_business,26460,16,1653.75
284,41405,family_support,100639,24,4612.62
285,32568,health,136711,16,9398.88
286,18466,education,153560,6,25593.33
287,13627,family_support,119094,22,5413.36
288,25220,health,95618,36,2656.06
289,46261,family_support,49291,14,3872.86
290,32590,health,188617,12,17289.89
291,36387,health,150391,26,6362.7
292,23813,start_business,104937,27,3886.56
293,23092,health,13491,30,449.7
294,11527,housing,70573,23,3068.39
295,6499,health,114914,30,3447.42
296,5932,family_support,18081,25,650.92
297,15354,family_support,61038,26,2347.62
298,25605,education,10194,17,599.65
299,27897,family_support,174938,21,8330.38
300,25887,family_support,47105,13,3623.46
301,32786,start_business,196397,22,9819.85
302,9336,family_support,106641,31,3096.03
303,15125,housing,44822,27,1660.07
304,38152,family_support,23629,19,1367.99
305,48134,housing,15672,35,492.55
306,16854,health,121609,21,5790.9
307,28885,start_business,38604,6,6434
308,16680,education,138966,36,3860.17
309,44960,education,56829,28,2232.57
310,35416,family_support,113351,32,3896.44
311,44024,education,133073,22,6653.65
312,42693,health,156273,36,4775.01
313,9220,start_business,61654,8,6936.07
314,16915,housing,186596,20,9329.8
315,25359,family_support,158404,27,5866.81
316,42984,health,148933,26,6301.01
317,5125,health,152418,28,4899.15
318,29983,education,74451,31,2401.65
319,47189,housing,60934,18,3723.74
320,35345,start_business,54268,21,2842.61
321,29750,health,31290,18,1738.33
322,38484,health,77415,28,3041.3
323,11013,health,124386,17,7316.82
324,28947,family_support,51936,20,2596.8
325,36589,health,159265,13,13476.27
326,6739,housing,84836,16,4772.03
327,34249,start_business,119608,31,4244.15
328,9901,education,62114,34,1644.19
329,20964,housing,72723,21,3463
330,19574,housing,60645,10,6064.5
331,43020,family_support,157511,26,6663.93
332,26780,start_business,151442,10,15144.2
333,19295,housing,195988,34,5764.35
334,38424,start_business,106242,8,14608.28
335,27035,education,130618,23,5679.04
336,30726,family_support,39376,20,2165.68
337,38386,education,186140,32,6398.56
338,28441,family_support,10626,15,708.4
339,37188,start_business,197537,15,14486.05
340,39988,family_support,19362,23,926.01
341,32619,housing,19216,27,782.87
342,25613,education,19574,21,932.1
343,30227,housing,187591,24,8597.92
344,44014,health,124484,22,6224.2
345,12526,family_support,99678,15,6645.2
346,14969,health,175433,20,8771.65
347,40018,health,173339,8,23834.11
348,20443,housing,10083,10,1008.3
349,33081,family_support,22586,17,1461.45
350,27216,family_support,23459,6,3909.83
351,49529,housing,115547,6,21183.62
352,6033,housing,16691,27,556.37
353,31162,housing,56820,17,3676.59
354,7986,education,101697,14,6537.66
355,9534,health,88435,36,2210.88
356,25879,health,122655,15,8177
357,35238,education,27403,6,5023.88
358,41821,education,192038,20,10562.09
359,31798,family_support,96658,14,7594.56
360,13848,family_support,125281,33,3796.39
361,30293,start_business,20946,12,1920.05
362,45847,housing,62277,21,3262.13
363,11522,education,77657,27,2876.19
364,41123,start_business,101375,31,3597.18
365,19655,housing,144957,36,4026.58
366,42651,health,50424,10,5546.64
367,46008,family_support,106996,13,9053.51
368,33078,health,30872,27,1257.75
369,44135,housing,76005,35,2388.73
370,13658,start_business,96072,26,3695.08
371,49455,family_support,139211,17,9007.77
372,14999,start_business,199328,26,7666.46
373,8111,start_business,134750,18,6737.5
374,13051,health,41480,18,2304.44
375,21036,housing,149921,32,4685.03
376,30361,education,68448,13,5791.75
377,18130,family_support,25418,28,907.79
378,14999,housing,93458,15,6230.53
379,5538,education,82966,27,2765.53
380,8064,start_business,185909,27,6196.97
381,47438,start_business,102977,34,3331.61
382,47622,start_business,64207,27,2615.84
383,47818,education,48154,20,2648.47
384,8571,family_support,171733,14,11039.98
385,33074,education,152767,18,9335.76
386,36746,family_support,60329,22,3016.45
387,29170,family_support,139152,28,4969.71
388,27837,housing,121055,25,4842.2
389,41828,education,192809,24,8837.08
390,43958,family_support,73332,23,3507.18
391,45944,education,82234,14,6461.24
392,13390,housing,52802,25,2112.08
393,29093,start_business,39811,30,1327.03
394,29224,education,44520,28,1590
395,16297,housing,186780,16,11673.75
396,32970,education,47043,19,2723.54
397,41063,education,191503,35,6018.67
398,47158,education,184880,23,8842.09
399,33697,family_support,169246,27,6895.21
400,5470,family_support,38403,15,2304.18
401,31971,health,43132,13,3649.63
402,28897,health,84841,18,4713.39
403,34895,housing,39797,24,1824.03
404,6248,education,46021,8,5177.36
405,18579,start_business,19081,26,733.88
406,30047,start_business,180405,11,18040.5
407,10229,health,74648,13,5742.15
408,37539,health,158461,36,4841.86
409,23180,housing,133372,16,8335.75
410,32119,housing,149332,31,5298.88
411,46097,start_business,47977,10,5277.47
412,16109,education,127993,25,5119.72
413,46507,education,68115,12,6243.88
414,34864,start_business,147462,34,4770.83
415,22642,education,123402,34,3629.47
416,6191,education,117940,13,8165.08
417,48145,housing,140021,35,4400.66
418,31819,family_support,25766,31,914.28
419,7711,family_support,20522,27,684.07
420,21801,health,14676,27,543.56
421,8837,housing,24516,18,1225.8
422,22574,start_business,183878,30,6129.27
423,21093,start_business,165985,8,20748.12
424,31146,housing,119369,24,5471.08
425,33404,education,10772,22,538.6
426,13587,education,49105,10,4910.5
427,49096,housing,66847,35,2100.91
428,14550,education,27677,23,1203.35
429,20324,education,65188,34,1917.29
430,34512,family_support,160187,11,16018.7
431,34698,family_support,86174,7,13541.63
432,12791,start_business,79333,17,4666.65
433,48344,housing,167249,18,10220.77
434,23427,family_support,90606,22,4118.45
435,45777,family_support,27383,11,2738.3
436,46981,education,164415,12,15071.38
437,43062,start_business,91289,29,3462.69
438,48477,start_business,181456,25,7984.06
439,46507,family_support,111596,11,11159.6
440,23411,housing,34853,21,1659.67
441,17994,education,86411,34,2541.5
442,43674,family_support,163451,16,11237.26
443,45379,start_business,115597,6,21192.78
444,27244,family_support,152145,32,4754.53
445,30917,start_business,164459,21,8614.52
446,44205,health,91518,10,10066.98
447,44903,education,116973,29,4436.91
448,16506,housing,102256,31,3298.58
449,22832,family_support,58530,15,3902
450,28762,education,36986,12,3082.17
451,24527,family_support,128234,7,18319.14
452,36138,family_support,13909,11,1390.9
453,9479,start_business,21227,25,764.17
454,21313,education,196818,11,17892.55
455,9079,education,14542,35,373.94
456,19314,education,37659,21,1793.29
457,37804,education,50585,31,1794.95
458,6777,education,75854,35,1950.53
459,33981,housing,181670,16,12489.81
460,42668,start_business,178927,13,15139.98
461,22928,family_support,81539,13,6272.23
462,15828,housing,98058,28,3502.07
463,33277,family_support,184760,23,8836.35
464,19964,family_support,138195,6,23032.5
465,38521,housing,131038,12,12011.82
466,17052,health,141486,11,12862.36
467,25864,housing,53462,7,7637.43
468,41525,housing,162952,34,5271.98
469,19155,health,94584,30,3152.8
470,20335,family_support,191215,31,6168.23
471,39116,housing,44682,22,2234.1
472,34247,health,124772,10,13724.92
473,20762,start_business,162818,15,10854.53
474,18218,housing,111427,18,6190.39
475,34345,family_support,28274,36,863.93
476,31099,education,167073,10,18378.03
477,41367,health,144218,27,5875.55
478,10352,family_support,118143,28,4219.39
479,10593,start_business,38386,20,1919.3
480,5514,health,70549,36,1763.72
481,42632,family_support,31387,19,1817.14
482,29975,education,119280,20,5964
483,7168,housing,155498,9,15549.8
484,44273,health,101732,28,3996.61
485,9156,housing,195070,32,5486.34
486,30221,start_business,164929,14,12958.71
487,42315,start_business,66246,28,2602.52
488,22496,health,82253,31,2653.32
489,35592,family_support,189913,26,8034.78
490,36319,health,44650,7,7016.43
491,48978,housing,28392,14,2230.8
492,24201,education,135048,14,9646.29
493,45021,start_business,164237,11,16423.7
494,9015,health,33975,25,1223.1
495,48178,education,36554,7,5744.2
496,5960,start_business,56623,29,1757.27
497,20331,family_support,23246,28,830.21
498,29028,housing,150644,36,4184.56
499,49316,housing,38500,13,3257.69
500,7339,health,15988,15,959.28
501,45993,education,100621,24,4611.8
502,38535,education,125361,6,22982.85
503,48724,health,40668,36,1242.63
504,15486,start_business,84248,19,4434.11
505,10952,family_support,137743,30,4591.43
506,38853,start_business,71694,25,3154.54
507,48484,health,113786,22,5689.3
508,6547,start_business,102566,6,15384.9
509,48477,start_business,184177,10,20259.47
510,12331,start_business,182856,25,7314.24
511,49172,education,122233,25,5378.25
512,30186,education,179747,29,6817.99
513,38464,housing,191987,35,6033.88
514,41120,education,95721,34,3096.86
515,26870,family_support,155129,12,12927.42
516,47410,housing,79815,11,7981.5
517,6406,family_support,107462,14,6908.27
518,41425,education,11167,15,818.91
519,11111,family_support,26454,24,1102.25
520,20037,health,102110,16,6381.88
521,16362,housing,22601,26,869.27
522,6247,start_business,198290,18,9914.5
523,35236,family_support,173814,7,27313.63
524,18274,health,98139,15,6542.6
525,44761,start_business,130846,23,6257.85
526,26307,family_support,161078,28,5752.79
527,21208,housing,24605,18,1366.94
528,34398,family_support,195926,28,7697.09
529,44686,housing,118478,10,13032.58
530,21333,housing,29956,35,855.89
531,26237,education,196990,26,7576.54
532,45693,housing,44718,23,2138.69
533,6495,family_support,97111,6,14566.65
534,39793,start_business,85610,23,4094.39
535,33237,housing,36370,30,1333.57
536,26152,start_business,134858,8,16857.25
537,35816,education,22109,11,2210.9
538,48442,health,132203,29,5014.6
539,23193,health,14549,25,581.96
540,35982,family_support,102928,7,16174.4
541,35401,education,25628,10,2819.08
542,6928,start_business,77679,10,6991.11
543,39936,education,62674,15,4596.09
544,11582,housing,45456,7,6493.71
545,38479,start_business,148015,31,5252.15
546,10589,health,13202,22,600.09
547,21191,housing,127378,21,6065.62
548,24308,start_business,21835,33,661.67
549,30564,family_support,177082,23,8469.14
550,49226,education,74441,33,2481.37
551,41177,housing,139015,36,4247.68
552,19119,health,47772,34,1405.06
553,40552,education,11730,28,460.82
554,42925,housing,82146,35,2581.73
555,20250,health,77002,30,2566.73
556,10948,education,82003,34,2411.85
557,10388,housing,119500,9,13277.78
558,9910,housing,153150,17,8107.94
559,10732,housing,27073,25,1082.92
560,20157,health,126736,33,3840.48
561,32161,family_support,110091,9,13455.57
562,21770,start_business,128933,25,5157.32
563,22898,health,175766,11,15978.73
564,44231,housing,168027,18,10268.32
565,9326,health,122739,22,5021.14
566,14347,health,25932,17,1525.41
567,42338,family_support,175569,13,14855.84
568,30181,family_support,158578,21,8306.47
569,16041,education,196437,20,9821.85
570,21563,family_support,43769,18,2431.61
571,23994,family_support,138297,8,17287.12
572,40413,family_support,35690,15,2617.27
573,41694,housing,38181,17,2470.54
574,49446,family_support,150921,24,6917.21
575,30278,health,61397,10,6753.67
576,10611,education,12028,24,501.17
577,9746,health,103191,19,4887.99
578,31700,education,23946,10,2634.06
579,28502,family_support,128740,26,4951.54
580,42287,education,154089,8,21187.24
581,45140,education,110540,31,3922.39
582,45507,health,158105,20,8695.78
583,35213,housing,43401,30,1591.37
584,29647,start_business,45843,27,1697.89
585,46278,housing,153803,24,7049.3
586,19095,family_support,88394,18,4910.78
587,8702,housing,69178,25,2490.41
588,15711,housing,67602,17,3976.59
589,48122,family_support,91991,23,4399.57
590,33929,family_support,183226,36,5598.57
591,43435,start_business,152972,14,12019.23
592,23505,health,59960,12,4996.67
593,43310,health,64284,21,3367.26
594,36351,health,80096,19,4637.14
595,19522,health,25763,27,954.19
596,34778,health,32871,12,3013.18
597,46764,health,75236,12,6896.63
598,25902,housing,91819,34,2700.56
599,46489,health,65327,21,3421.89
600,10161,family_support,131132,25,5245.28
601,39325,family_support,135558,21,7100.66
602,10250,family_support,116831,10,11683.1
603,21901,family_support,113444,16,7090.25
604,17064,education,21997,29,758.52
605,31037,health,36533,15,2679.09
606,44195,family_support,73247,7,11510.24
607,35515,start_business,154669,23,7397.21
608,24945,education,165000,8,20625
609,24049,family_support,177315,30,5910.5
610,34939,housing,185809,13,15722.3
611,27106,education,154811,24,6450.46
612,12871,housing,153645,33,4655.91
613,24639,family_support,31212,8,3901.5
614,26441,education,175612,6,29268.67
615,36521,family_support,58079,28,2281.68
616,5543,start_business,186726,22,7638.79
617,19851,family_support,25172,18,1398.44
618,49967,family_support,84678,7,13306.54
619,15160,family_support,72856,30,2428.53
620,25032,family_support,113310,16,7081.88
621,45464,health,54578,30,2001.19
622,31997,health,81785,28,3212.98
623,30467,start_business,38239,10,4206.29
624,22002,housing,58509,31,1887.39
625,44474,health,81201,16,5582.57
626,28692,family_support,163737,25,6549.48
627,24673,housing,24642,8,3080.25
628,17651,education,12998,28,464.21
629,42036,family_support,107955,18,6597.25
630,47400,start_business,112184,20,6170.12
631,5871,health,17921,10,1612.89
632,29783,housing,84098,17,4946.94
633,29907,health,192690,32,6021.56
634,19145,education,199225,36,5534.03
635,25051,family_support,50151,30,1671.7
636,17481,start_business,35443,16,2215.19
637,24895,start_business,117493,19,6183.84
638,47830,start_business,12791,32,439.69
639,38648,family_support,47084,21,2466.3
640,20340,education,167694,28,5989.07
641,37724,start_business,183851,12,16853.01
642,31525,education,151654,12,13901.62
643,41361,housing,180798,14,14205.56
644,33514,family_support,60526,18,3698.81
645,23408,education,39036,24,1626.5
646,34128,education,168821,20,9285.16
647,18451,housing,118717,14,8479.79
648,38779,start_business,57255,11,5725.5
649,12472,start_business,157903,15,10526.87
650,10857,health,82468,31,2660.26
651,45797,housing,187742,11,18774.2
652,13382,education,41140,36,1142.78
653,44488,education,129172,22,6458.6
654,32502,start_business,158540,20,8719.7
655,16376,health,115370,31,3721.61
656,25246,health,151461,27,5609.67
657,24595,family_support,177415,30,5913.83
658,20674,housing,21956,6,3659.33
659,33697,start_business,23509,24,1077.5
660,15169,education,58706,29,2024.34
661,9485,start_business,165150,34,4371.62
662,41945,health,59786,32,2055.14
663,26914,start_business,113608,32,3550.25
664,5434,start_business,42196,8,4747.05
665,8893,health,166203,17,8798.98
666,31817,start_business,98438,25,4331.27
667,18801,education,10458,16,653.62
668,11877,education,152756,23,6641.57
669,48180,start_business,11038,16,758.86
670,22042,family_support,160805,16,10050.31
671,19994,education,42345,16,2646.56
672,9935,housing,118063,13,8173.59
673,16763,health,52744,30,1758.13
674,48174,family_support,64134,36,1959.65
675,10046,education,149541,32,4673.16
676,15631,family_support,119091,35,3402.6
677,12536,health,187935,32,5872.97
678,28674,family_support,170361,17,10021.24
679,32223,health,64321,11,6432.1
680,30358,education,133361,35,4191.35
681,31178,family_support,83731,30,3070.14
682,45070,start_business,47733,9,5834.03
683,48653,health,77992,25,3431.65
684,28928,education,182678,31,5892.84
685,25548,education,113315,32,3541.09
686,37290,health,100679,16,6921.68
687,15282,start_business,128214,11,11655.82
688,35847,family_support,68997,23,3299.86
689,47641,education,122759,13,10387.3
690,13454,health,45369,32,1417.78
691,48364,education,31038,32,1066.93
692,20857,education,28716,8,3589.5
693,45511,education,44265,12,4057.63
694,8001,education,140271,33,3825.57
695,42710,education,13436,9,1642.18
696,22690,education,12870,11,1170
697,32565,education,61774,28,2426.84
698,12852,start_business,156721,16,9795.06
699,8311,start_business,15123,35,388.88
700,20510,housing,82965,8,10370.62
701,47425,health,108957,10,11985.27
702,33185,family_support,91093,7,14314.61
703,36827,housing,170393,20,9371.61
704,16240,start_business,170173,34,5005.09
705,23348,start_business,86589,35,2473.97
706,48150,family_support,127025,19,7354.08
707,37404,housing,19563,17,1265.84
708,7571,start_business,88280,23,3454.43
709,47177,housing,68527,6,12563.28
710,26200,housing,160339,14,11452.79
711,40490,education,50042,17,3238.01
712,24625,family_support,111380,33,3375.15
713,30240,family_support,173386,11,17338.6
714,23708,education,118693,14,8478.07
715,35157,education,126055,22,6302.75
716,45042,housing,189231,34,6122.18
717,48845,housing,159226,26,6736.48
718,33182,start_business,103411,27,4213.04
719,48509,health,133750,23,6396.74
720,17329,start_business,187261,18,10403.39
721,22754,family_support,151303,8,18912.88
722,26911,start_business,144704,20,7235.2
723,28418,start_business,186297,24,7762.38
724,24264,education,80313,11,7301.18
725,36984,health,119114,33,3970.47
726,13247,housing,89025,31,2871.77
727,48854,family_support,108682,27,4427.79
728,43281,health,79459,36,2427.91
729,24326,start_business,106166,6,17694.33
730,19772,health,62534,24,2605.58
731,48811,housing,136417,24,6252.45
732,10120,family_support,134947,36,3748.53
733,31290,housing,120809,31,4286.77
734,26317,family_support,136880,12,11406.67
735,45285,housing,136688,11,13668.8
736,19557,health,111392,24,4641.33
737,37979,start_business,33634,35,1057.07
738,15341,family_support,196088,17,11534.59
739,21118,housing,28356,25,1134.24
740,35846,start_business,175219,36,5353.91
741,29512,education,126038,28,4501.36
742,45179,education,33334,27,1358.05
743,29582,health,95065,14,6790.36
744,6305,health,102743,15,6164.58
745,30675,education,157259,9,19220.54
746,42783,health,19503,16,1340.83
747,7174,education,88256,26,3055.02
748,48013,health,185954,13,15734.57
749,28895,housing,68427,29,2359.55
750,43840,education,174386,19,10096.03
751,8760,education,41974,15,2518.44
752,30766,health,199704,21,10460.69
753,41107,health,153023,36,4675.7
754,37117,housing,56857,31,2017.51
755,45071,family_support,160379,7,25202.41
756,47125,family_support,168336,18,10287.2
757,46506,education,154606,23,7394.2
758,45744,housing,157079,23,7512.47
759,43771,housing,94235,8,12957.31
760,36278,housing,124376,7,19544.8
761,12468,start_business,140714,12,11726.17
762,36697,family_support,130304,18,7963.02
763,45680,start_business,31199,15,2287.93
764,41205,housing,34958,20,1922.69
765,21005,family_support,101480,32,3171.25
766,8842,health,121852,16,6854.18
767,45840,education,151152,17,9780.42
768,11422,family_support,107715,11,9792.27
769,39778,education,84915,25,3736.26
770,14760,start_business,132143,28,4719.39
771,7218,start_business,92734,24,3477.53
772,31362,family_support,32094,29,1217.36
773,11105,education,28883,12,2406.92
774,7027,health,55017,34,1456.33
775,28204,health,110489,35,3156.83
776,34914,housing,96299,18,5884.94
777,22638,family_support,35254,16,2203.38
778,30436,family_support,83027,11,8302.7
