Scheme Name,DBT,Economic Distress,Description,Apply Link,min_age,max_age,caste_sc,caste_st,caste_obc,caste_ews,caste_general,caste_bc,caste_sebc,caste_vjnt,caste_sbc,caste_minority,caste_parsi,caste_all,is_farmer,is_student,is_disabled,is_widow,is_pregnant,is_unorganized_worker,is_entrepreneur,is_woman,is_artist,is_exservicemen,is_government,is_orphan,is_elderly,is_journalist,is_ews,is_low_income,income_upper_limit,income_category,sub_categories,primary_category,Residence_Cleaned,Minority_Type,Minority_Cleaned,Disability_Type,Disability_Cleaned,Benefit_Category,Marital_Status_Clean,BPL_Clean,Employment_Status_Clean,Application_Mode_Clean,Scheme_Type_Clean,Location_Clean
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Yes,Yes,Monthly pension of ₹200 (60–79 yrs) and ₹500 (80+ yrs) to BPL elderly.,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,BPL,['Social Welfare'],Social Welfare,All India,No,No,None,No,Pension,All,Yes,Retired,Offline,Central,India
Shram Kalyan Shaikshanik Chatravriti Yojana,No,No,Scholarship for education of children from working-class labour families.,N/A,18,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Madhya Pradesh,No,No,None,No,Financial,All,No,Student,Offline,State,Madhya Pradesh
Jai Johar (Old Age Pension) Scheme,Yes,No,"₹1,000 monthly pension for ST residents aged 60+ under tribal welfare.",N/A,60,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,West Bengal,No,No,None,No,Pension,All,No,Retired,Offline,State,West Bengal
INSPIRE Faculty Fellowship,No,No,"Fellowship for 100 young PhDs annually for research in science, engineering, medicine, agriculture, and veterinary sciences.",N/A,27,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,No,No,None,No,Fellowship,Single,No,Employed,Online,Central,India
Subsidy for Purchase of Catamaran/Vallam/Canoe (Marine Fisheries),No,No,Subsidy to purchase fiber-reinforced plastic or wooden fishing vessels and nets to enhance fish production.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Puducherry,No,No,None,No,Subsidy,All,No,Self-Employed,Offline,State,Puducherry
Goa Village & Municipal Child Committee Grants & Awards,No,No,"₹10,000 grant to Panchayats/Municipalities for organizing and managing Child Committees annually.",N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Goa,No,No,None,No,Composite / Multi,All,No,Other,Offline,State,Goa
DBT - Junior Research Fellowship (DBT-JRF),No,No,Fellowship for life sciences and biotechnology research under Department of Biotechnology.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,No,No,None,No,Fellowship,All,No,Student,Online,Central,India
IGNOAPS - Sikkim,Yes,Yes,"Pension to BPL citizens aged 60+ at ₹200 or ₹500 depending on age, under Women & Child Welfare Dept.",N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,BPL,['Social Welfare'],Social Welfare,Sikkim,No,No,None,No,Pension,All,Yes,Retired,Offline,State,Sikkim
Mukhyamantri Mahila Utkarsh Yojana,No,Yes,Scheme to promote women’s entrepreneurship through financial aid and capacity building.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Gujarat,No,No,None,No,Financial,Single,No,Self-Employed,Offline,State,Gujarat
ASEAN-India Research Training Fellowship (AI-RTF),No,No,Fellowship for ASEAN young scientists to conduct collaborative research in India.,N/A,25,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Other,Yes (Unspecified),Yes,None,No,Fellowship,All,No,Employed,Online,Central,International
Promotion of Energy Audit – PEACE Scheme,Yes,No,Incentives for implementing energy-saving audit recommendations in MSMEs.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Tamil Nadu,No,No,None,No,Subsidy,All,No,Self-Employed,Offline,State,Tamil Nadu
Scholarships to Students with Disabilities,No,Yes,"Scholarships for academic, technical, or vocational training for students with disabilities.",N/A,18,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Punjab,No,No,Unspecified,Yes,Scholarship,All,No,Student,Offline,State,Punjab
Financial Assistance for Marriage of Poor Brides (BPL),No,Yes,"₹25,000 financial support to BPL families for first marriage of the girl.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BPL,['Women Welfare'],Women Welfare,Puducherry,No,No,None,No,Financial,Single,Yes,Unemployed,Offline,State,Puducherry
Stipend to Scheduled Caste Trainees in Technical Training Institutions,No,No,Financial stipend support for SC trainees in government technical training institutes.,N/A,18,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Puducherry,No,No,None,No,Composite / Multi,All,No,Student,Offline,State,Puducherry
Production Linked Incentive (PLI) Scheme for Automobile and Auto Component Industry,No,No,Incentives for manufacturing of advanced automotive and auto components in India.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,All India,No,No,None,No,Financial,All,No,Other,Online,Central,India
Asangathit Karmakaar Silai Machine Sahayata Yojana,No,Yes,Sewing machines provided to unorganized women workers for income generation.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,Low Income,['Employment'],Employment,Chhattisgarh,No,No,None,No,Financial,All,Yes,Self-Employed,Offline,State,Chhattisgarh
"Financial Assistance for Purchase of Fishing Craft (Inland, <26ft)",No,No,Subsidy-based support for purchasing or building small inland fishing boats.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Goa,No,No,None,No,Subsidy,All,No,Self-Employed,Offline,State,Goa
Award of Opportunity Cost to Parents of SC Girl Students,No,Yes,Financial aid to parents to reduce dropouts of SC girl students involved in labor.,N/A,18,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,Low Income,['Education'],Education,Puducherry,No,No,None,No,Financial,All,Yes,Student,Offline,State,Puducherry
Poultry Farming Training Stipend for Weaker Sections,No,Yes,Training + stipend scheme for poultry farming to uplift weaker sections.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Low Income,['Employment'],Employment,Gujarat,No,No,None,No,Composite / Multi,All,Yes,Self-Employed,Offline,State,Gujarat
Merit Award for High-Performing SSC & HSSC Students (Goa),No,Yes,Merit award to motivate ST students scoring high in board exams.,N/A,18,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Low Income,['Education'],Education,Goa,No,No,None,No,Composite / Multi,All,No,Student,Offline,State,Goa
Fee Waiver for SC/ST Students in Higher Education,No,No,Free higher education access for SC/ST students in Goa.,N/A,18,30,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Goa,No,No,None,No,Scholarship,All,No,Student,Offline,State,Goa
Advocate Grant for Backward Class Law Graduates,No,Yes,One-time grant to start law practice for BC advocates facing financial difficulties.,N/A,21,35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Low Income,['Business'],Business,Kerala,No,No,None,No,Financial,All,Yes,Self-Employed,Offline,State,Kerala
Biotechnology Ignition Grant Scheme (BIG),No,No,BIRAC's flagship grant for early-stage ideas in biotechnology leading to proof of concept.,https://birac.nic.in,21,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,No,No,None,No,Financial,All,No,Self-Employed,Online,Central,India
Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,No,Yes,Free cycle assistance scheme for unorganized newspaper vendors.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Employment'],Employment,Chhattisgarh,No,No,None,No,In Kind,All,No,Self-Employed,Offline,State,Chhattisgarh
Aamar Dukan On Wheels,No,Yes,Mobile retail outlets under “Aamar Dukan” scheme to expand market access.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Assam,No,No,None,No,Financial,All,No,Self-Employed,Offline,State,Assam
KULAVILAKKU,No,Yes,"₹500 assistance to pregnant women per pregnancy (up to 2), promoting maternal and infant health.",N/A,18,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,Low Income,['Health'],Health,Puducherry,No,No,None,No,Financial,Married,Yes,Unemployed,Offline,State,Puducherry
Safai Karmakar Hetu Aavashyak Upakaran Sahayata Yojana,No,Yes,Provision of essential sanitation tools to unorganized cleaning workers.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Employment'],Employment,Chhattisgarh,No,No,None,No,In Kind,All,No,Employed,Offline,State,Chhattisgarh
Atal Mission for Rejuvenation and Urban Transformation (AMRUT),No,Yes,"Urban development scheme to provide water, sewage, parks, and mobility infrastructure.",https://amrut.gov.in,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Housing', 'Infrastructure']",Housing,All India,No,No,None,No,Other,All,No,Other,Both,Central,India
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Yes,No,"Life insurance scheme (₹2 lakh cover) renewable yearly, via banks and LIC.",https://jansuraksha.gov.in,18,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Financial Support'],Financial Support,All India,No,No,None,No,Insurance,All,No,Other,Online,Central,India
Media Person Pension Scheme,Yes,Yes,Monthly pension scheme for retired media professionals with minimum years of experience.,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Unspecified,['Social Welfare'],Social Welfare,Haryana,No,No,None,No,Pension,All,No,Retired,Offline,State,Haryana
Eco-Certification Support for Coffee (Traditional Areas),Yes,No,Encouragement of eco-certification among coffee growers to improve export quality and income.,https://www.indiacoffee.org,18,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,All India,No,No,None,No,Subsidy,All,No,Self-Employed,Online,Central,India
Development of Handicrafts,No,Yes,Revitalization and training support for traditional crafts and trades.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Employment'],Employment,Puducherry,No,No,None,No,Composite / Multi,All,No,Self-Employed,Offline,State,Puducherry
Mukhyamantri Nirmaan Shramik Pension Sahayata,Yes,Yes,Monthly pension support to registered building/construction workers after retirement.,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Chhattisgarh,No,No,None,No,Pension,All,No,Retired,Offline,State,Chhattisgarh
Jagananna Chedodu,No,Yes,"₹10,000 per year for 5 years to traditional service workers (Tailors, Rajakas, Nayee Brahmins).",N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Andhra Pradesh,No,No,None,No,Financial,All,No,Self-Employed,Offline,State,Andhra Pradesh
Assistance Scheme for Handicraft Artisans,No,Yes,One-time grant for eligible artisans to set up handicraft-based enterprises.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Employment'],Employment,Kerala,No,No,None,No,Financial,All,No,Self-Employed,Offline,State,Kerala
Assam Arogya Nidhi Scheme,No,Yes,Annual medical assistance for serious illnesses and accidents.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Low Income,['Health'],Health,Assam,No,No,None,No,Financial,All,No,Unemployed,Offline,State,Assam
Theka Shramik Evan Hamaal Shramik Baahy Rogi Chikitsa Sahayata Yojana,No,Yes,Medical aid scheme for unorganized transport and manual workers.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Chhattisgarh,No,No,None,No,Composite / Multi,All,No,Other,Offline,State,Chhattisgarh
E-Thela Sahayata Yojana,No,Yes,Provides support to e-thela vendors with carts and startup funds.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Chhattisgarh,No,No,None,No,Composite / Multi,All,No,Self-Employed,Offline,State,Chhattisgarh
Financial Assistance for Mussel & Oyster Farming,No,Yes,Subsidy for setting up mussel and oyster culture in estuaries and seas.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Goa,No,No,None,No,Composite / Multi,All,No,Self-Employed,Offline,State,Goa
Stationery Aid for SC/ST/OBC/Minorities Students,No,Yes,Stationery cost reimbursement for marginalized students in Delhi govt schools.,N/A,6,18,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Delhi,Yes (Unspecified),Yes,None,No,Financial,All,No,Student,Offline,State,Delhi
Mukhyamantri Shramik Siyaan Sahayata Yojana,Yes,Yes,Financial assistance scheme for elderly registered laborers in construction.,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Chhattisgarh,No,No,None,No,Composite / Multi,All,No,Retired,Offline,State,Chhattisgarh
Institutions of Eminence Scheme,No,No,Grant-based scheme to boost world-class research & education institutions.,https://moe.gov.in,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Unspecified,['Education'],Education,All India,No,No,None,No,Other,All,No,Other,Online,Central,India
Atal Beemit Vyakti Kalyan Yojana,Yes,Yes,Temporary income support for unemployed ESIC registered workers.,https://www.esic.nic.in,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Employment'],Employment,All India,No,No,None,No,Insurance,All,No,Unemployed,Online,Central,India
Usha Kiran Yojana,No,Yes,"Scheme for women facing domestic, sexual, physical, and mental abuse.",N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Women Welfare'],Women Welfare,Madhya Pradesh,No,No,Unspecified,Yes,Other,All,No,Unemployed,Offline,State,Madhya Pradesh
Swachh Bharat Mission – Urban 2.0,No,Yes,Support for IHHL (Individual Household Latrines) construction in urban areas.,https://swachhbharaturban.gov.in/,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,All India,No,No,None,No,Other,All,No,Other,Both,Central,India
Financial Assistance to Pre-primary School in Remote Areas,No,Yes,Aid for establishing pre-primary schools in remote tribal regions.,N/A,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Goa,No,No,None,No,Financial,All,No,Student,Offline,State,Goa
Visiting Advanced Joint Research Faculty Scheme (VAJRA),No,No,Faculty research program for NRIs/OCIs in Indian research institutes.,https://vajra-india.in,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,All India,No,No,None,No,Fellowship,All,No,Other,Online,Central,India
